county,agencies,year,crimespercop,crimetotal,violenttotal,murder,rape,robbery,aggravatedassault,propertytotal,burglary,larceny,vehicletheft,pdcount,swornfulltime,policegrandtotal
Tioga,3,2015,3.5773,347,34,1,9,5,19,313,62,237,14,3,53,97
Tompkins,8,2015,6.4065,1986,97,0,31,26,40,1889,264,1597,28,8,183,310
Ulster,15,2015,3.3848,2410,213,0,41,39,133,2197,322,1819,56,15,438,712
Warren,3,2015,5.0175,858,73,1,27,9,36,785,103,675,7,3,95,171
Washington,7,2015,3.3788,446,66,1,23,1,41,380,67,305,8,7,61,132
Wayne,8,2015,6.9708,955,107,2,29,13,63,848,193,631,24,8,81,137
Westchester,39,2015,3.4577,11528,2053,16,142,724,1171,9475,1223,7596,656,39,2611,3334
Wyoming,5,2015,3.9053,371,31,1,12,0,18,340,56,274,10,5,48,95
Yates,2,2015,3.8472,277,20,0,5,0,15,257,79,176,2,2,35,72
Albany,11,2016,7.3141,8499,1078,3,94,291,690,7421,876,6337,208,11,708,1162
Allegany,10,2016,1.3462,210,27,0,3,0,24,183,32,146,5,10,47,156
Broome,7,2016,12.9358,4631,548,5,75,136,332,4083,849,3065,169,7,284,358
Cattaraugus,8,2016,3.7642,926,96,0,26,7,63,830,132,660,38,8,115,246
Cayuga,5,2016,7.9724,1156,152,1,49,17,85,1004,185,799,20,5,99,145
Chautauqua,9,2016,8.7486,3097,332,4,67,63,198,2765,688,1979,98,9,200,354
Chemung,5,2016,20.0114,1761,121,3,7,37,74,1640,228,1376,36,5,68,88
Chenango,8,2016,11.9000,714,47,0,21,6,20,667,111,553,3,8,23,60
Clinton,3,2016,4.5918,450,46,0,10,2,34,404,50,351,3,3,77,98
Columbia,8,2016,3.0812,607,39,0,11,3,25,568,93,466,9,8,77,197
Cortland,3,2016,5.0787,645,29,1,9,2,17,616,130,481,5,3,84,127
Delaware,6,2016,4.2128,396,64,0,30,3,31,332,78,244,10,6,35,94
Dutchess,14,2016,5.8642,3454,398,4,58,104,232,3056,395,2597,64,14,334,589
Erie,20,2016,9.7192,25027,3720,50,264,1282,2124,21307,4091,16046,1170,20,1612,2575
Essex,4,2016,2.4889,112,18,0,2,0,16,94,26,64,4,4,35,45
Franklin,4,2016,4.9200,369,49,0,16,2,31,320,38,278,4,4,42,75
Fulton,4,2016,8.7805,1080,120,1,39,11,69,960,142,797,21,4,74,123
Genesee,3,2016,8.1397,1107,112,0,28,19,65,995,178,771,46,3,87,136
Greene,8,2016,1.0823,171,21,0,3,0,18,150,24,126,0,8,47,158
Hamilton,2,2016,0.9286,13,3,0,1,0,2,10,1,9,0,2,7,14
Herkimer,9,2016,4.1444,775,93,0,16,10,67,682,69,607,6,9,71,187
Jefferson,12,2016,9.2211,1752,223,1,57,16,149,1529,249,1248,32,12,112,190
Lewis,2,2016,2.4444,110,10,1,4,0,5,100,35,62,3,2,23,45
Livingston,7,2016,3.8750,744,66,3,16,7,40,678,104,555,19,7,76,192
Madison,6,2016,4.3353,750,77,1,26,9,41,673,93,555,25,6,72,173
Monroe,11,2016,10.9487,18569,2460,44,256,848,1312,16109,2568,12582,959,11,1319,1696
Montgomery,5,2016,5.3832,899,71,1,22,14,34,828,134,679,15,5,75,167
Nassau,20,2016,3.1910,15106,1800,20,60,725,995,13306,1478,11139,689,20,3184,4734
Niagara,8,2016,11.0284,5834,811,4,52,268,487,5023,1020,3691,312,8,381,529
Oneida,14,2016,8.2085,4646,540,3,106,138,293,4106,746,3229,131,14,376,566
Onondaga,15,2016,9.4476,10279,1361,34,128,393,806,8918,1577,6860,481,15,791,1088
Ontario,7,2016,6.5148,1544,135,1,56,18,60,1409,264,1121,24,7,125,237
Orange,32,2016,5.3449,6478,790,8,52,222,508,5688,693,4826,169,32,614,1212
Orleans,4,2016,7.1828,668,63,0,14,6,43,605,127,453,25,4,50,93
Oswego,6,2016,5.8963,1421,148,0,45,16,87,1273,226,1008,39,6,149,241
Otsego,3,2016,6.4098,391,50,0,8,10,32,341,81,253,7,3,44,61
Putnam,5,2016,2.4450,489,24,0,5,5,14,465,68,380,17,5,137,200
Rensselaer,9,2016,9.7273,3210,433,4,39,114,276,2777,537,2118,122,9,238,330
Rockland,10,2016,4.2117,3521,376,2,45,102,227,3145,254,2774,117,10,585,836
Saratoga,7,2016,6.3313,2102,172,2,28,16,126,1930,265,1577,88,7,212,332
Schenectady,6,2016,13.9606,4607,684,6,74,166,438,3923,568,3110,245,6,259,330
