county,agencies,year,population,crimesperthousand,index_total,violentperthousand,violent_total,murderperthousand,murder,"rapeperperson * 1000",rape,robberyperthousand,robbery,aggravated_assaultperthousand,aggravated_assault,propertyperthousand,property_total,burglaryperthousand,burglary,larcenyperthousand,larceny,vehicletheftperthousand,motor_vehicle_theft
Orange,630,1990,307571,1302.1000,210,156.7000,7,2.0000,1,7.5000,0,43.0000,1,104.3000,5,1145.4000,203,282.4000,67,799.9000,126,63.1000,10
Orleans,126,1990,41846,949.8000,277,136.8000,44,2.6000,1,5.2000,1,8.6000,6,120.4000,36,813.0000,233,157.4000,30,627.2000,199,28.4000,4
Oswego,216,1990,121785,997.4000,13,31.3000,0,0.0000,0,5.9000,0,2.4000,0,23.1000,0,966.0000,13,213.7000,0,721.6000,11,30.7000,2
Otsego,126,1990,60390,723.7000,93,39.3000,7,0.6000,0,6.6000,0,3.0000,0,29.2000,7,684.4000,86,175.9000,6,499.6000,80,8.9000,0
Putnam,162,1990,83941,816.1000,536,57.9000,26,0.0000,0,3.9000,2,3.4000,1,50.6000,23,758.2000,510,218.3000,114,488.9000,358,51.0000,38
Queens,18,1990,1951598,1523.5000,165179,280.8000,30441,2.8000,308,5.1000,556,167.3000,18135,105.5000,11442,1242.7000,134738,270.0000,29273,508.8000,55165,463.9000,50300
Rensselaer,216,1990,154429,1267.7000,5438,93.5000,401,0.7000,3,9.8000,42,18.6000,80,64.3000,276,1174.2000,5037,331.5000,1422,786.3000,3373,56.4000,242
Richmond,18,1990,378977,1037.9000,21853,146.9000,3092,1.4000,29,3.8000,80,49.3000,1037,92.4000,1946,891.1000,18761,172.0000,3621,375.6000,7909,343.4000,7231
Rockland,270,1990,265475,1153.7000,2452,96.1000,151,0.7000,0,5.4000,8,24.1000,28,65.9000,115,1057.6000,2301,193.8000,351,785.2000,1784,78.7000,166
Saratoga,216,1990,181276,1023.1000,265,94.5000,17,0.2000,0,5.4000,5,6.6000,0,82.4000,12,928.6000,248,210.5000,49,688.7000,185,29.4000,14
Schenectady,180,1990,149285,1428.6000,5924,93.3000,387,2.4000,10,11.6000,48,35.0000,145,44.4000,184,1335.2000,5537,383.2000,1589,868.4000,3601,83.7000,347
Schoharie,108,1990,31840,846.9000,189,58.8000,26,0.0000,0,2.3000,0,1.1000,0,55.4000,26,788.1000,163,270.2000,20,489.6000,140,28.3000,3
Schuyler,90,1990,18662,1246.2000,646,36.7000,19,0.0000,0,13.5000,7,1.9000,1,21.2000,11,1209.5000,627,223.8000,116,945.2000,490,40.5000,21
Seneca,108,1990,33683,847.5000,793,55.6000,52,0.0000,0,7.5000,7,1.1000,1,47.0000,44,792.0000,741,159.2000,149,607.1000,568,25.7000,24
Steuben,270,1990,99088,1238.9000,155,89.4000,11,0.0000,0,2.9000,0,4.4000,1,82.1000,10,1149.5000,144,201.3000,23,910.8000,113,37.4000,8
Suffolk,522,1990,1321339,1670.1000,350,103.1000,42,1.0000,0,4.2000,4,41.8000,19,56.1000,19,1567.0000,308,353.3000,43,994.6000,198,219.1000,67
Sullivan,162,1990,69277,1646.8000,3169,155.9000,300,1.6000,3,9.4000,18,20.3000,39,124.7000,240,1490.9000,2869,571.6000,1100,855.9000,1647,63.4000,122
Tioga,90,1990,52337,629.4000,915,83.2000,121,2.1000,3,4.1000,6,2.8000,4,74.3000,108,546.2000,794,145.1000,211,374.2000,544,26.8000,39
Tompkins,216,1990,94097,1719.7000,78,54.7000,0,1.9000,0,7.7000,0,8.4000,0,36.7000,0,1665.0000,78,316.8000,11,1303.5000,65,44.8000,2
Ulster,378,1990,165380,1206.4000,1,133.4000,0,1.7000,0,5.2000,0,14.8000,0,111.7000,0,1072.9000,1,311.1000,0,704.8000,1,57.0000,0
Warren,90,1990,59209,1523.7000,7,173.3000,0,1.2000,0,11.6000,0,7.3000,0,153.2000,0,1350.4000,7,283.3000,0,1038.5000,7,28.6000,0
Washington,198,1990,59330,856.8000,67,109.2000,3,0.0000,0,7.3000,0,6.1000,1,95.9000,2,747.5000,64,178.4000,9,541.2000,52,27.9000,3
Wayne,198,1990,89123,1051.8000,88,72.3000,9,2.0000,0,7.7000,0,9.7000,0,52.9000,9,979.5000,79,219.3000,9,732.3000,66,27.9000,4
Westchester,810,1990,874866,1569.6000,100,159.3000,13,2.1000,0,5.3000,0,79.3000,4,72.7000,9,1410.3000,87,266.0000,16,887.3000,68,257.0000,3
Wyoming,162,1990,42507,1146.7000,49,179.5000,2,0.0000,0,5.1000,0,1.7000,0,172.8000,2,967.2000,47,343.8000,9,578.4000,37,44.9000,1
