county,agencies,year,population,crimesperthousand,index_total,violentperthousand,violent_total,murderperthousand,murder,"rapeperperson * 1000",rape,robberyperthousand,robbery,aggravated_assaultperthousand,aggravated_assault,propertyperthousand,property_total,burglaryperthousand,burglary,larcenyperthousand,larceny,vehicletheftperthousand,motor_vehicle_theft
Tompkins,108,1995,96870,753.3000,77,30.3000,3,0.0000,0,3.0000,2,10.2000,0,17.1000,1,723.0000,74,148.8000,12,551.9000,61,22.3000,1
Ulster,189,1995,172362,498.8000,13,54.7000,0,0.7000,0,4.9000,0,5.8000,0,43.2000,0,444.0000,13,98.3000,0,328.6000,13,17.1000,0
Warren,54,1995,62271,681.6000,17,81.2000,0,0.9000,0,4.0000,0,5.5000,0,70.8000,0,600.4000,17,114.5000,1,473.2000,16,12.7000,0
Washington,99,1995,61225,410.1000,48,47.6000,1,0.3000,0,1.5000,0,0.3000,0,45.6000,1,362.5000,47,88.5000,11,263.7000,33,10.3000,3
Wayne,108,1995,92740,452.8000,27,35.5000,6,0.2000,0,5.6000,2,5.0000,1,24.6000,3,417.3000,21,85.0000,3,317.1000,17,15.1000,1
Westchester,414,1995,897945,621.4000,102,71.6000,8,0.6000,0,1.9000,0,35.2000,4,33.9000,4,549.8000,94,91.4000,26,376.8000,62,81.7000,6
Wyoming,81,1995,43709,471.9000,83,56.8000,4,0.8000,0,2.1000,0,2.1000,0,51.9000,4,415.1000,79,143.7000,12,257.8000,62,13.6000,5
Yates,36,1995,24064,412.2000,551,44.9000,60,0.0000,0,3.0000,4,0.0000,0,41.9000,56,367.3000,491,89.0000,119,270.8000,362,7.5000,10
Albany,171,1996,297680,810.2000,8130,84.7000,1132,0.7000,11,3.9000,46,33.6000,491,46.6000,584,725.5000,6998,175.8000,2087,506.8000,4355,42.9000,556
Allegany,99,1996,50869,387.8000,142,32.9000,11,0.0000,0,5.0000,3,0.0000,0,28.0000,8,354.9000,131,116.8000,38,231.1000,90,7.1000,3
Bronx,9,1996,1272693,451.0000,63772,145.8000,20615,1.8000,248,3.7000,530,70.9000,10023,69.4000,9814,305.2000,43157,80.4000,11374,155.6000,22006,69.1000,9777
Broome,117,1996,204415,658.9000,3007,37.3000,170,0.5000,4,3.8000,23,10.4000,88,22.6000,55,621.6000,2837,108.0000,352,495.4000,2373,18.2000,112
Cattaraugus,99,1996,85284,502.5000,51,53.0000,7,0.2000,0,5.1000,0,5.1000,0,42.6000,7,449.6000,44,111.9000,7,324.4000,37,13.3000,0
Cayuga,72,1996,82846,489.3000,1276,35.4000,59,0.4000,0,3.7000,13,5.2000,21,26.1000,25,453.9000,1217,85.2000,167,359.8000,1026,8.9000,24
Chautauqua,117,1996,142476,650.8000,28,43.1000,3,0.5000,0,3.5000,0,13.9000,0,25.1000,3,607.7000,25,139.0000,8,447.5000,14,21.2000,3
Chemung,81,1996,92972,698.9000,3,52.9000,0,0.2000,0,4.8000,0,8.3000,0,39.5000,0,646.1000,3,101.6000,0,534.4000,3,10.1000,0
Chenango,99,1996,52297,488.1000,37,55.4000,3,0.7000,0,0.7000,0,1.0000,0,53.0000,3,432.6000,34,119.1000,9,303.9000,24,9.6000,1
Clinton,81,1996,80440,444.2000,8,79.9000,1,0.2000,0,1.6000,0,0.4000,0,77.6000,1,364.3000,7,96.0000,2,261.1000,5,7.2000,0
Columbia,108,1996,63625,484.1000,166,65.4000,22,0.0000,0,3.7000,2,7.4000,0,54.3000,20,418.7000,144,99.0000,26,306.7000,113,13.0000,5
Cortland,63,1996,48726,828.2000,1072,47.3000,74,0.4000,1,5.9000,13,4.8000,12,36.2000,48,780.9000,998,119.3000,138,629.8000,812,31.8000,48
Delaware,90,1996,48342,417.4000,13,32.4000,0,0.0000,0,3.4000,0,1.1000,0,27.9000,0,385.0000,13,109.5000,0,268.5000,13,7.1000,0
Dutchess,162,1996,268986,510.9000,425,62.6000,142,0.7000,0,3.0000,1,16.2000,14,42.6000,127,448.4000,283,90.7000,84,335.2000,174,22.4000,25
Erie,270,1996,970375,857.4000,21,102.9000,4,1.1000,0,6.7000,0,54.8000,0,40.3000,4,754.5000,17,172.9000,2,469.9000,15,111.7000,0
Essex,54,1996,38595,339.5000,728,35.0000,75,0.5000,1,0.9000,2,0.9000,2,32.6000,70,304.5000,653,101.7000,218,194.0000,416,8.9000,19
Franklin,45,1996,50179,415.0000,1157,64.2000,179,1.4000,4,4.7000,13,1.8000,5,56.3000,157,350.8000,978,106.2000,296,235.0000,655,9.7000,27
Fulton,54,1996,55388,697.1000,2145,56.5000,174,0.0000,0,4.5000,14,5.2000,16,46.8000,144,640.5000,1971,151.1000,465,467.3000,1438,22.1000,68
Genesee,63,1996,61288,484.0000,746,37.0000,19,0.9000,0,2.9000,0,5.6000,11,27.6000,8,447.0000,727,77.2000,86,357.4000,627,12.3000,14
Greene,81,1996,47170,466.3000,30,101.9000,6,0.8000,0,1.9000,1,1.9000,0,97.3000,5,364.4000,24,122.5000,9,227.8000,13,14.1000,2
Hamilton,36,1996,5354,373.2000,111,26.9000,8,0.0000,0,0.0000,0,0.0000,0,26.9000,8,346.3000,103,147.9000,44,181.5000,54,16.8000,5
Herkimer,108,1996,66454,383.8000,1417,36.8000,136,0.0000,0,2.2000,8,3.0000,11,31.7000,117,347.0000,1281,91.0000,336,245.4000,906,10.6000,39
Jefferson,144,1996,114585,453.4000,9,30.3000,2,0.0000,0,6.1000,0,4.6000,0,19.6000,2,423.0000,7,104.6000,3,308.4000,3,10.1000,1
Kings,9,1996,2383703,402.7000,106659,131.4000,34798,1.3000,340,3.2000,842,64.4000,17061,62.5000,16555,271.3000,71861,71.0000,18796,136.8000,36240,63.5000,16825
Lewis,36,1996,27357,275.7000,419,22.4000,34,0.0000,0,2.0000,3,0.0000,0,20.4000,31,253.3000,385,111.2000,169,136.9000,208,5.3000,8
Livingston,99,1996,64146,482.4000,59,34.5000,0,0.0000,0,3.1000,0,1.7000,0,29.7000,0,447.9000,59,65.1000,4,368.4000,54,14.3000,1
Madison,99,1996,70151,431.8000,58,25.4000,2,0.0000,0,2.1000,0,3.8000,0,19.5000,2,406.4000,56,99.3000,4,301.0000,52,6.2000,0
Monroe,144,1996,734257,926.9000,1189,68.6000,37,1.3000,0,4.2000,3,39.6000,24,23.6000,10,858.3000,1152,158.1000,158,608.5000,926,91.6000,68
Montgomery,72,1996,51305,498.2000,629,39.6000,60,0.0000,0,4.6000,8,3.9000,11,31.2000,41,458.6000,569,106.7000,176,336.1000,382,15.8000,11
Nassau,234,1996,1315799,443.4000,3,44.7000,1,0.3000,0,1.5000,0,18.1000,0,24.9000,1,398.7000,2,59.8000,1,271.1000,1,67.7000,0
"New York",9,1996,1521415,635.3000,107398,130.2000,22006,1.2000,203,2.7000,462,66.9000,11304,59.4000,10037,505.1000,85392,79.7000,13469,374.4000,63285,51.1000,8638
Niagara,90,1996,223792,733.8000,9123,70.6000,878,0.2000,3,4.3000,53,23.2000,289,42.9000,533,663.2000,8245,163.0000,2027,441.6000,5490,58.6000,728
Oneida,162,1996,239246,601.4000,14,46.6000,3,0.8000,0,4.3000,0,12.1000,0,29.3000,3,554.8000,11,117.5000,1,409.7000,9,27.5000,1
Onondaga,216,1996,466614,783.2000,226,66.7000,8,0.7000,0,4.1000,0,26.3000,1,35.6000,7,716.5000,218,171.3000,41,503.6000,173,41.6000,4
Ontario,72,1996,99509,445.5000,268,15.2000,13,0.0000,0,2.5000,4,2.7000,0,9.9000,9,430.3000,255,67.5000,35,347.5000,212,15.4000,8
Orange,315,1996,326000,541.6000,214,63.2000,2,0.8000,0,2.8000,1,13.4000,0,46.3000,1,478.4000,212,97.1000,80,354.6000,121,26.7000,11
Orleans,63,1996,44435,388.5000,252,40.9000,28,0.0000,0,3.6000,0,4.5000,2,32.8000,26,347.6000,224,68.9000,31,270.2000,184,8.5000,9
Oswego,90,1996,123619,493.9000,11,28.1000,1,0.1000,0,2.9000,0,3.8000,0,21.3000,1,465.8000,10,114.3000,0,337.8000,10,13.7000,0
Otsego,72,1996,61584,413.6000,60,29.5000,5,0.6000,0,3.8000,0,2.3000,0,22.8000,5,384.1000,55,89.7000,1,285.9000,54,8.5000,0
Putnam,81,1996,90768,272.7000,377,13.9000,12,0.0000,0,1.0000,0,1.8000,2,11.1000,10,258.8000,365,63.1000,54,178.1000,286,17.6000,25
Queens,9,1996,2105520,401.0000,93823,80.3000,18786,0.7000,164,1.9000,452,44.4000,10378,33.3000,7792,320.7000,75037,67.9000,15887,157.2000,36766,95.7000,22384
Rensselaer,108,1996,154928,702.2000,6044,58.4000,503,0.2000,2,5.8000,50,20.8000,179,31.6000,272,643.8000,5541,166.6000,1434,443.4000,3816,33.8000,291
Richmond,9,1996,414481,259.5000,11951,54.8000,2523,0.6000,28,1.0000,45,20.1000,927,33.1000,1523,204.7000,9428,40.6000,1872,104.2000,4799,59.9000,2757
Rockland,117,1996,277714,505.4000,2477,42.6000,158,0.4000,0,1.4000,7,12.8000,39,28.1000,112,462.7000,2319,77.6000,302,360.6000,1900,24.5000,117
Saratoga,108,1996,193937,406.7000,276,48.6000,5,0.1000,0,2.7000,4,4.1000,0,41.8000,1,358.1000,271,86.0000,51,261.5000,212,10.6000,8
Schenectady,72,1996,149351,737.8000,6122,67.1000,557,0.5000,4,3.3000,27,30.6000,254,32.8000,272,670.7000,5565,167.3000,1388,472.8000,3923,30.6000,254
Schoharie,63,1996,32111,329.6000,143,25.2000,28,0.0000,0,0.6000,1,2.2000,2,22.4000,25,304.4000,115,108.7000,19,191.1000,94,4.5000,2
Schuyler,45,1996,19089,331.0000,351,20.7000,22,0.0000,0,5.7000,6,0.0000,0,15.1000,16,310.2000,329,73.6000,78,224.4000,238,12.3000,13
Seneca,54,1996,33500,421.8000,785,24.7000,46,0.5000,1,2.1000,4,2.1000,4,19.9000,37,397.1000,739,87.0000,162,297.7000,554,12.4000,23
Steuben,126,1996,99212,522.5000,10,37.0000,2,0.2000,0,3.1000,0,3.1000,0,30.7000,2,485.5000,8,94.2000,1,385.4000,7,6.0000,0
Suffolk,243,1996,1368366,595.0000,418,33.8000,20,0.6000,0,0.6000,0,14.1000,13,18.4000,7,561.2000,398,97.9000,22,413.0000,345,50.3000,31
Sullivan,81,1996,72758,727.1000,2939,98.5000,398,0.0000,0,5.4000,22,13.1000,53,79.9000,323,628.6000,2541,243.4000,984,360.5000,1457,24.7000,100
Tioga,54,1996,52287,288.8000,839,20.0000,58,0.3000,1,0.3000,1,0.7000,2,18.6000,54,268.9000,781,62.0000,180,202.1000,587,4.8000,14
Tompkins,108,1996,96298,668.8000,60,26.4000,3,0.4000,0,3.2000,1,11.6000,0,11.2000,2,642.4000,57,132.0000,12,494.6000,44,15.9000,1
Ulster,180,1996,173205,472.6000,6,61.5000,0,0.7000,0,2.5000,0,5.9000,0,52.4000,0,411.1000,6,88.5000,0,303.1000,6,19.4000,0
Warren,45,1996,62337,669.9000,14,58.0000,0,0.6000,0,2.3000,0,4.3000,0,50.8000,0,611.9000,14,126.2000,2,473.3000,11,12.4000,1
Washington,90,1996,61278,337.8000,48,18.2000,2,0.0000,0,1.2000,0,0.9000,0,16.2000,2,319.6000,46,80.5000,8,235.9000,35,3.2000,3
Wayne,99,1996,93128,397.4000,41,26.3000,0,0.2000,0,4.1000,0,3.1000,0,18.9000,0,371.1000,41,75.8000,8,283.5000,32,11.8000,1
Westchester,414,1996,902174,588.3000,61,64.4000,6,0.8000,0,2.1000,0,30.7000,0,30.7000,6,523.9000,55,89.8000,12,355.3000,37,78.7000,6
Wyoming,72,1996,43950,453.8000,76,50.0000,4,0.0000,0,2.9000,0,2.5000,0,44.6000,4,403.8000,72,163.4000,6,226.1000,65,14.3000,1
Yates,36,1996,24209,369.5000,497,22.3000,30,0.0000,0,1.5000,2,2.2000,3,18.6000,25,347.2000,467,63.9000,86,275.8000,371,7.4000,10
Albany,171,1997,296187,872.1000,7354,87.8000,1035,0.6000,7,7.8000,66,30.5000,429,49.0000,533,784.3000,6319,169.1000,1762,577.0000,4132,38.2000,425
Allegany,117,1997,50325,337.3000,111,30.0000,7,0.0000,0,2.9000,0,0.4000,0,26.8000,7,307.2000,104,90.5000,30,209.6000,72,7.2000,2
Bronx,9,1997,1285683,403.4000,57626,137.1000,19592,1.4000,195,3.8000,538,63.4000,9056,68.6000,9803,266.2000,38034,66.7000,9524,142.3000,20323,57.3000,8187
Broome,117,1997,202053,625.6000,2754,34.1000,175,0.4000,3,3.7000,24,8.8000,72,21.3000,76,591.5000,2579,105.6000,280,470.2000,2227,15.8000,72
Cattaraugus,108,1997,84718,488.7000,74,49.1000,11,0.4000,0,3.4000,0,3.2000,0,42.1000,11,439.6000,63,112.6000,12,309.6000,51,17.4000,0
Cayuga,72,1997,82693,465.2000,1203,36.6000,58,0.4000,0,3.0000,7,3.7000,15,29.4000,36,428.6000,1145,103.0000,198,317.6000,928,8.1000,19
Chautauqua,126,1997,141531,593.8000,19,50.6000,1,0.1000,0,4.7000,0,8.1000,0,37.6000,1,543.2000,18,131.4000,10,391.6000,7,20.2000,1
Chemung,90,1997,92162,648.4000,3,50.4000,0,0.2000,0,3.1000,0,8.4000,0,38.7000,0,598.0000,3,94.5000,0,493.0000,3,10.5000,0
Chenango,99,1997,52017,471.3000,34,45.3000,4,0.0000,0,1.0000,0,1.7000,1,42.6000,3,426.0000,30,126.7000,9,291.4000,21,8.0000,0
Clinton,81,1997,80191,430.1000,4,79.5000,1,0.2000,0,2.7000,0,2.2000,0,74.3000,1,350.6000,3,97.0000,2,247.8000,1,5.8000,0
Columbia,90,1997,63505,491.5000,113,85.6000,15,0.6000,0,1.7000,1,8.5000,0,74.8000,14,405.9000,98,104.0000,20,290.5000,76,11.3000,2
Cortland,63,1997,48619,747.9000,954,38.9000,55,0.0000,0,5.2000,9,4.4000,8,29.2000,38,709.0000,899,132.9000,137,550.5000,731,25.5000,31
Delaware,108,1997,47878,364.3000,2,39.1000,0,0.4000,0,1.1000,0,0.8000,0,36.8000,0,325.2000,2,100.4000,0,213.9000,2,10.9000,0
Dutchess,162,1997,270935,502.6000,457,55.8000,134,0.1000,0,3.2000,1,15.1000,19,37.4000,114,446.8000,323,90.6000,85,338.6000,217,17.6000,21
Erie,270,1997,963040,825.4000,38,95.3000,9,1.0000,0,5.7000,0,46.3000,1,42.4000,8,730.1000,29,165.1000,4,465.6000,25,99.3000,0
Essex,45,1997,38646,317.7000,682,37.3000,80,0.9000,2,3.3000,7,0.5000,1,32.6000,70,280.4000,602,107.6000,231,167.7000,360,5.1000,11
Franklin,45,1997,49919,392.7000,1089,58.8000,163,0.0000,0,6.1000,17,1.1000,3,51.6000,143,333.9000,926,99.9000,277,226.4000,628,7.6000,21
Fulton,54,1997,55102,578.5000,1771,55.5000,170,0.0000,0,2.9000,9,4.6000,14,48.0000,147,523.0000,1601,123.2000,377,374.4000,1146,25.5000,78
Genesee,63,1997,61216,460.5000,695,31.5000,14,0.3000,0,5.3000,2,3.2000,4,22.6000,8,429.0000,681,80.6000,80,335.8000,587,12.6000,14
Greene,72,1997,47346,482.4000,2,128.1000,2,0.4000,0,2.3000,0,1.5000,0,123.9000,2,354.3000,0,118.6000,0,224.3000,0,11.4000,0
Hamilton,36,1997,5274,361.8000,106,13.7000,4,0.0000,0,0.0000,0,0.0000,0,13.7000,4,348.1000,102,92.2000,27,249.1000,73,6.8000,2
Herkimer,108,1997,65818,411.9000,1506,42.1000,154,0.0000,0,3.8000,14,1.6000,6,36.6000,134,369.7000,1352,93.5000,342,263.9000,965,12.3000,45
Jefferson,135,1997,113055,429.9000,18,26.4000,2,0.2000,0,6.2000,0,4.8000,0,15.3000,2,403.4000,16,98.6000,3,295.8000,13,9.1000,0
Kings,9,1997,2401148,380.3000,101454,122.6000,32697,1.0000,276,2.8000,743,58.5000,15613,60.2000,16065,257.7000,68757,63.7000,16994,139.2000,37139,54.8000,14624
Lewis,36,1997,27251,259.6000,393,27.1000,41,0.0000,0,0.7000,1,3.3000,5,23.1000,35,232.5000,352,103.0000,156,124.2000,188,5.3000,8
Livingston,108,1997,64217,474.8000,60,40.1000,0,0.0000,0,3.9000,0,1.1000,0,35.0000,0,434.7000,60,64.5000,5,356.8000,53,13.5000,2
Madison,90,1997,69554,425.7000,75,18.6000,0,0.5000,0,2.3000,0,1.6000,0,14.2000,0,407.1000,75,89.8000,4,311.3000,69,6.0000,2
Monroe,144,1997,734394,898.5000,1234,71.4000,40,1.5000,0,4.6000,4,44.8000,31,20.5000,5,827.1000,1194,142.3000,169,594.5000,932,90.4000,93
Montgomery,63,1997,50798,411.7000,348,43.6000,19,0.0000,0,6.4000,5,4.3000,9,33.0000,5,368.2000,329,85.8000,70,271.4000,247,11.0000,12
Nassau,234,1997,1318211,406.8000,1,34.6000,0,0.3000,0,1.7000,0,16.3000,0,16.2000,0,372.2000,1,50.4000,1,255.9000,0,65.9000,0
"New York",9,1997,1527384,590.7000,100253,118.9000,20174,0.9000,150,2.4000,406,59.3000,10057,56.3000,9561,471.9000,80079,65.2000,11068,366.7000,62233,39.9000,6778
Niagara,90,1997,223135,750.2000,9300,82.8000,1027,0.7000,9,4.1000,51,21.4000,265,56.6000,702,667.4000,8273,159.8000,1981,456.3000,5657,51.2000,635
Oneida,171,1997,236863,576.6000,25,52.7000,7,0.5000,0,5.4000,1,16.0000,0,30.8000,6,523.9000,18,116.0000,5,382.8000,12,25.2000,1
Onondaga,216,1997,462438,763.9000,215,69.7000,13,0.7000,0,3.6000,0,26.8000,2,38.6000,11,694.2000,202,156.2000,30,498.9000,164,39.1000,8
Ontario,72,1997,99693,418.7000,264,13.0000,4,0.2000,0,2.3000,1,3.8000,1,6.7000,2,405.7000,260,61.6000,39,331.3000,211,12.8000,10
Orange,324,1997,328860,491.8000,168,57.5000,5,0.3000,0,3.8000,2,11.2000,0,42.3000,3,434.3000,163,86.7000,46,325.5000,106,22.1000,11
Orleans,54,1997,44172,440.1000,311,37.1000,19,0.0000,0,3.3000,1,4.1000,3,29.7000,15,403.0000,292,103.1000,64,285.7000,221,14.3000,7
Oswego,90,1997,123237,502.3000,20,22.8000,5,0.3000,0,2.3000,0,1.9000,1,18.3000,4,479.5000,15,104.3000,2,358.3000,13,16.9000,0
Otsego,72,1997,61371,426.2000,62,36.4000,7,0.6000,0,3.8000,0,3.8000,1,28.2000,6,389.8000,55,79.2000,7,300.9000,48,9.7000,0
Putnam,81,1997,92139,253.2000,383,11.7000,13,0.0000,0,1.6000,0,2.5000,1,7.6000,12,241.5000,370,56.3000,75,170.4000,279,14.8000,16
Queens,9,1997,2138503,361.5000,85894,75.0000,17832,0.6000,132,1.8000,416,38.0000,9033,34.7000,8251,286.4000,68062,62.6000,14886,139.3000,33107,84.5000,20069
Rensselaer,108,1997,153653,642.3000,5483,62.2000,531,0.9000,8,5.9000,50,19.8000,169,35.6000,304,580.1000,4952,137.5000,1174,416.8000,3558,25.8000,220
Richmond,9,1997,420725,242.7000,11346,55.0000,2571,0.3000,16,1.2000,55,20.5000,959,33.0000,1541,187.7000,8775,35.8000,1675,103.7000,4846,48.2000,2254
Rockland,126,1997,279082,479.7000,2218,48.1000,125,0.1000,2,1.8000,6,14.4000,28,31.8000,89,431.6000,2093,80.8000,330,329.0000,1664,21.8000,99
Saratoga,108,1997,194757,291.3000,174,21.9000,5,0.3000,0,2.4000,4,3.1000,0,16.1000,1,269.4000,169,66.4000,12,193.2000,153,9.9000,4
Schenectady,72,1997,148557,687.7000,5676,60.7000,501,0.7000,6,2.4000,20,31.4000,259,26.2000,216,627.0000,5175,162.7000,1343,429.2000,3542,35.1000,290
Schoharie,63,1997,31557,300.0000,135,22.2000,20,1.7000,1,2.3000,0,2.3000,4,16.0000,15,277.8000,115,93.5000,12,176.3000,98,8.0000,5
Schuyler,45,1997,19023,300.9000,318,15.1000,16,0.0000,0,4.7000,5,1.9000,2,8.5000,9,285.8000,302,84.2000,89,189.2000,200,12.3000,13
Seneca,54,1997,33362,404.1000,749,28.6000,53,0.0000,0,3.8000,7,2.7000,5,22.1000,41,375.5000,696,64.7000,120,301.1000,558,9.7000,18
Steuben,117,1997,98907,534.5000,63,39.3000,3,0.0000,0,3.6000,0,2.7000,1,32.9000,2,495.2000,60,91.9000,12,389.5000,46,13.8000,2
Suffolk,243,1997,1377203,578.5000,263,32.8000,15,0.5000,0,0.7000,1,13.0000,8,18.8000,6,545.7000,248,100.8000,46,400.0000,194,44.9000,8
Sullivan,72,1997,72712,714.7000,2887,106.4000,430,0.5000,2,5.7000,23,11.1000,45,89.1000,360,608.2000,2457,241.4000,975,347.3000,1403,19.6000,79
Tioga,54,1997,52160,216.4000,627,16.2000,47,1.4000,4,2.4000,7,0.7000,2,11.7000,34,200.2000,580,55.2000,160,135.6000,393,9.3000,27
Tompkins,108,1997,96216,614.7000,57,27.7000,0,0.2000,0,3.7000,0,10.1000,0,13.7000,0,587.1000,57,118.2000,7,459.1000,50,9.7000,0
Ulster,189,1997,174148,504.4000,9,65.0000,0,0.3000,0,2.4000,0,8.0000,0,54.4000,0,439.4000,9,99.7000,0,318.9000,9,20.8000,0
Warren,45,1997,62460,584.7000,7,38.3000,0,0.0000,0,3.2000,0,2.6000,0,32.6000,0,546.4000,7,100.6000,0,434.6000,7,11.2000,0
Washington,90,1997,60950,383.3000,40,57.3000,3,0.0000,0,3.0000,0,0.6000,0,53.7000,3,326.0000,37,80.3000,6,238.9000,31,6.8000,0
Wayne,99,1997,93282,413.5000,25,26.2000,5,0.4000,0,4.8000,0,3.1000,0,17.9000,5,387.3000,20,88.8000,3,283.7000,16,14.9000,1
Westchester,414,1997,905632,568.5000,57,62.5000,5,0.6000,0,2.1000,0,28.5000,2,31.3000,3,505.9000,52,86.9000,7,337.0000,41,82.1000,4
Wyoming,81,1997,43767,432.2000,104,46.9000,9,0.4000,0,2.1000,0,4.1000,0,40.3000,9,385.4000,95,140.2000,6,233.2000,88,11.9000,1
Yates,36,1997,24245,361.6000,487,26.0000,35,0.0000,0,3.0000,4,0.7000,1,22.3000,30,335.6000,452,63.1000,85,268.8000,362,3.7000,5
Albany,162,1998,295097,837.7000,7320,79.9000,995,0.2000,2,6.3000,74,29.0000,387,44.5000,532,757.8000,6325,168.8000,1799,553.7000,4084,35.3000,442
Allegany,90,1998,49991,320.8000,96,24.8000,9,0.4000,0,2.9000,2,1.8000,1,19.8000,6,296.0000,87,107.7000,25,180.4000,60,7.9000,2
Bronx,9,1998,1300823,363.0000,52464,127.2000,18391,1.2000,170,3.7000,533,53.0000,7661,69.4000,10027,235.7000,34073,56.8000,8210,128.4000,18558,50.5000,7305
Broome,108,1998,201072,586.2000,2581,34.6000,144,0.1000,1,2.3000,13,7.3000,56,24.9000,74,551.6000,2437,99.7000,275,435.4000,2088,16.5000,74
Cattaraugus,108,1998,84519,446.4000,74,32.8000,13,0.2000,0,3.2000,0,1.7000,2,27.7000,11,413.6000,61,120.5000,8,282.0000,51,11.1000,2
Cayuga,81,1998,82497,443.4000,1256,38.8000,70,0.0000,0,2.2000,5,4.1000,13,32.5000,52,404.5000,1186,85.7000,205,306.8000,952,12.0000,29
Chautauqua,126,1998,140784,566.1000,39,49.9000,8,0.5000,0,4.6000,0,8.6000,1,36.2000,7,516.3000,31,109.2000,12,391.7000,16,15.3000,3
Chemung,90,1998,91791,600.8000,1,50.6000,0,0.6000,0,6.3000,0,7.1000,0,36.7000,0,550.3000,1,91.2000,0,444.2000,1,14.9000,0
Chenango,99,1998,51432,377.6000,28,47.6000,5,0.3000,0,2.1000,0,0.7000,1,44.4000,4,330.0000,23,90.3000,5,231.0000,18,8.7000,0
Clinton,63,1998,79926,309.2000,15,56.1000,0,0.0000,0,2.0000,0,1.4000,0,52.7000,0,253.1000,15,65.1000,3,182.6000,12,5.4000,0
Columbia,99,1998,63356,426.7000,103,70.2000,18,0.3000,0,2.3000,0,8.0000,1,59.7000,17,356.6000,85,104.0000,13,237.5000,66,15.1000,6
Cortland,63,1998,48755,688.5000,916,46.1000,60,0.0000,0,8.5000,20,5.2000,9,32.5000,31,642.4000,856,115.9000,127,504.7000,705,21.8000,24
Delaware,99,1998,47999,299.3000,13,37.1000,0,0.0000,0,4.9000,0,1.9000,0,30.4000,0,262.1000,13,82.9000,0,171.0000,13,8.3000,0
Dutchess,135,1998,273784,436.2000,531,44.7000,83,0.7000,0,2.8000,5,12.3000,17,28.9000,61,391.5000,448,70.6000,110,302.4000,319,18.5000,19
Erie,261,1998,956578,740.0000,64,85.3000,5,0.8000,0,4.8000,0,37.9000,0,41.8000,5,654.6000,59,146.8000,11,432.1000,47,75.7000,1
Essex,36,1998,38506,302.0000,646,40.2000,86,0.0000,0,2.8000,6,0.5000,1,36.9000,79,261.8000,560,105.6000,226,145.4000,311,10.8000,23
Franklin,45,1998,49620,307.3000,847,62.8000,173,0.4000,1,3.3000,9,1.1000,3,58.0000,160,244.5000,674,75.5000,208,161.8000,446,7.3000,20
Fulton,54,1998,54971,522.6000,1596,52.1000,159,1.6000,5,3.9000,12,2.6000,8,43.9000,134,470.5000,1437,122.1000,373,325.5000,994,22.9000,70
Genesee,54,1998,60877,419.6000,618,28.7000,26,0.0000,0,4.1000,1,3.0000,7,21.6000,18,390.9000,592,75.1000,91,301.9000,484,13.9000,17
Greene,72,1998,47771,432.2000,14,122.8000,0,0.8000,0,3.8000,0,2.6000,0,115.7000,0,309.4000,14,108.9000,1,191.4000,13,9.0000,0
Hamilton,36,1998,5296,343.3000,101,3.4000,1,0.0000,0,0.0000,0,0.0000,0,3.4000,1,339.9000,100,136.0000,40,193.7000,57,10.2000,3
Herkimer,99,1998,64909,401.0000,1446,39.1000,141,0.0000,0,1.4000,5,3.3000,12,34.4000,124,361.9000,1305,97.6000,352,257.6000,929,6.7000,24
Jefferson,126,1998,112546,372.2000,22,27.7000,3,0.3000,0,7.5000,0,3.7000,0,16.2000,3,344.5000,19,80.1000,1,258.6000,17,5.8000,1
Kings,9,1998,2422434,358.3000,96447,115.6000,31123,0.9000,237,2.9000,789,52.5000,14141,59.3000,15956,242.7000,65324,55.9000,15055,138.6000,37296,48.2000,12973
Lewis,36,1998,27072,311.8000,469,104.4000,157,0.0000,0,3.3000,5,1.3000,2,99.7000,150,207.4000,312,114.4000,172,85.8000,129,7.3000,11
Livingston,99,1998,63948,506.9000,54,43.6000,2,0.0000,0,1.4000,0,2.3000,0,40.0000,2,463.3000,52,70.4000,4,374.1000,43,18.9000,5
Madison,99,1998,69464,335.6000,29,14.0000,0,0.5000,0,1.8000,0,1.3000,0,10.4000,0,321.6000,29,82.7000,0,235.5000,29,3.4000,0
Monroe,135,1998,734076,844.2000,1056,58.7000,36,1.2000,0,4.6000,2,33.0000,27,19.9000,7,785.5000,1020,134.3000,147,569.1000,820,82.2000,53
Montgomery,72,1998,50321,410.3000,489,37.9000,38,0.0000,0,2.5000,4,6.4000,11,29.0000,23,372.4000,451,98.4000,148,260.8000,289,13.2000,14
Nassau,234,1998,1322950,375.3000,2,33.6000,0,0.3000,0,1.3000,0,14.9000,0,17.1000,0,341.7000,2,47.9000,1,238.0000,1,55.8000,0
"New York",9,1998,1531067,527.9000,89805,106.1000,18054,0.6000,104,1.9000,323,52.0000,8849,51.6000,8778,421.8000,71751,56.6000,9637,331.3000,56365,33.8000,5749
Niagara,90,1998,221884,710.8000,8762,75.4000,930,1.2000,15,3.4000,42,20.9000,258,49.9000,615,635.4000,7832,133.6000,1647,436.3000,5378,65.5000,807
Oneida,171,1998,235710,552.7000,11,48.1000,4,0.5000,0,5.8000,0,14.1000,0,27.8000,4,504.5000,7,114.9000,0,360.9000,7,28.8000,0
Onondaga,207,1998,459882,698.9000,201,73.0000,12,0.6000,0,3.7000,0,22.6000,1,46.1000,11,625.8000,189,142.8000,20,448.7000,162,34.4000,7
