county,agencies,year,population,crimesperperson,index_total,violentperperson,violent_total,murderperperson,murder,rapeperperson,rape,robberyperperson,robbery,aggravated_assaultperperson,aggravated_assault,propertyperperson,property_total,burglaryperperson,burglary,larcenyperperson,larceny,vehicletheftperperson,motor_vehicle_theft
Seneca,6,1996,33500,0.0469,785,0.0027,46,0.0001,1,0.0002,4,0.0002,4,0.0022,37,0.0441,739,0.0097,162,0.0331,554,0.0014,23
Steuben,14,1996,99212,0.0581,10,0.0041,2,0.0000,0,0.0003,0,0.0003,0,0.0034,2,0.0539,8,0.0105,1,0.0428,7,0.0007,0
Suffolk,27,1996,1368366,0.0661,418,0.0038,20,0.0001,0,0.0001,0,0.0016,13,0.0020,7,0.0624,398,0.0109,22,0.0459,345,0.0056,31
Sullivan,9,1996,72758,0.0808,2939,0.0109,398,0.0000,0,0.0006,22,0.0015,53,0.0089,323,0.0698,2541,0.0270,984,0.0401,1457,0.0027,100
Tioga,6,1996,52287,0.0321,839,0.0022,58,0.0000,1,0.0000,1,0.0001,2,0.0021,54,0.0299,781,0.0069,180,0.0225,587,0.0005,14
Tompkins,12,1996,96298,0.0743,60,0.0029,3,0.0000,0,0.0004,1,0.0013,0,0.0012,2,0.0714,57,0.0147,12,0.0550,44,0.0018,1
Ulster,20,1996,173205,0.0525,6,0.0068,0,0.0001,0,0.0003,0,0.0007,0,0.0058,0,0.0457,6,0.0098,0,0.0337,6,0.0022,0
Warren,5,1996,62337,0.0744,14,0.0064,0,0.0001,0,0.0003,0,0.0005,0,0.0056,0,0.0680,14,0.0140,2,0.0526,11,0.0014,1
Washington,10,1996,61278,0.0375,48,0.0020,2,0.0000,0,0.0001,0,0.0001,0,0.0018,2,0.0355,46,0.0089,8,0.0262,35,0.0004,3
Wayne,11,1996,93128,0.0442,41,0.0029,0,0.0000,0,0.0005,0,0.0003,0,0.0021,0,0.0412,41,0.0084,8,0.0315,32,0.0013,1
Westchester,46,1996,902174,0.0654,61,0.0072,6,0.0001,0,0.0002,0,0.0034,0,0.0034,6,0.0582,55,0.0100,12,0.0395,37,0.0087,6
Wyoming,8,1996,43950,0.0504,76,0.0056,4,0.0000,0,0.0003,0,0.0003,0,0.0050,4,0.0449,72,0.0182,6,0.0251,65,0.0016,1
Yates,4,1996,24209,0.0411,497,0.0025,30,0.0000,0,0.0002,2,0.0002,3,0.0021,25,0.0386,467,0.0071,86,0.0306,371,0.0008,10
Albany,19,1997,296187,0.0969,7354,0.0098,1035,0.0001,7,0.0009,66,0.0034,429,0.0054,533,0.0871,6319,0.0188,1762,0.0641,4132,0.0042,425
Allegany,13,1997,50325,0.0375,111,0.0033,7,0.0000,0,0.0003,0,0.0000,0,0.0030,7,0.0341,104,0.0101,30,0.0233,72,0.0008,2
Bronx,1,1997,1285683,0.0448,57626,0.0152,19592,0.0002,195,0.0004,538,0.0070,9056,0.0076,9803,0.0296,38034,0.0074,9524,0.0158,20323,0.0064,8187
Broome,13,1997,202053,0.0695,2754,0.0038,175,0.0000,3,0.0004,24,0.0010,72,0.0024,76,0.0657,2579,0.0117,280,0.0522,2227,0.0018,72
Cattaraugus,12,1997,84718,0.0543,74,0.0055,11,0.0000,0,0.0004,0,0.0004,0,0.0047,11,0.0488,63,0.0125,12,0.0344,51,0.0019,0
Cayuga,8,1997,82693,0.0517,1203,0.0041,58,0.0000,0,0.0003,7,0.0004,15,0.0033,36,0.0476,1145,0.0114,198,0.0353,928,0.0009,19
Chautauqua,14,1997,141531,0.0660,19,0.0056,1,0.0000,0,0.0005,0,0.0009,0,0.0042,1,0.0604,18,0.0146,10,0.0435,7,0.0022,1
Chemung,10,1997,92162,0.0720,3,0.0056,0,0.0000,0,0.0003,0,0.0009,0,0.0043,0,0.0664,3,0.0105,0,0.0548,3,0.0012,0
Chenango,11,1997,52017,0.0524,34,0.0050,4,0.0000,0,0.0001,0,0.0002,1,0.0047,3,0.0473,30,0.0141,9,0.0324,21,0.0009,0
Clinton,9,1997,80191,0.0478,4,0.0088,1,0.0000,0,0.0003,0,0.0002,0,0.0083,1,0.0390,3,0.0108,2,0.0275,1,0.0006,0
Columbia,10,1997,63505,0.0546,113,0.0095,15,0.0001,0,0.0002,1,0.0009,0,0.0083,14,0.0451,98,0.0116,20,0.0323,76,0.0013,2
Cortland,7,1997,48619,0.0831,954,0.0043,55,0.0000,0,0.0006,9,0.0005,8,0.0032,38,0.0788,899,0.0148,137,0.0612,731,0.0028,31
Delaware,12,1997,47878,0.0405,2,0.0043,0,0.0000,0,0.0001,0,0.0001,0,0.0041,0,0.0361,2,0.0112,0,0.0238,2,0.0012,0
Dutchess,18,1997,270935,0.0558,457,0.0062,134,0.0000,0,0.0004,1,0.0017,19,0.0042,114,0.0496,323,0.0101,85,0.0376,217,0.0020,21
Erie,30,1997,963040,0.0917,38,0.0106,9,0.0001,0,0.0006,0,0.0051,1,0.0047,8,0.0811,29,0.0183,4,0.0517,25,0.0110,0
Essex,5,1997,38646,0.0353,682,0.0041,80,0.0001,2,0.0004,7,0.0001,1,0.0036,70,0.0312,602,0.0120,231,0.0186,360,0.0006,11
Franklin,5,1997,49919,0.0436,1089,0.0065,163,0.0000,0,0.0007,17,0.0001,3,0.0057,143,0.0371,926,0.0111,277,0.0252,628,0.0008,21
Fulton,6,1997,55102,0.0643,1771,0.0062,170,0.0000,0,0.0003,9,0.0005,14,0.0053,147,0.0581,1601,0.0137,377,0.0416,1146,0.0028,78
Genesee,7,1997,61216,0.0512,695,0.0035,14,0.0000,0,0.0006,2,0.0004,4,0.0025,8,0.0477,681,0.0090,80,0.0373,587,0.0014,14
Greene,8,1997,47346,0.0536,2,0.0142,2,0.0000,0,0.0003,0,0.0002,0,0.0138,2,0.0394,0,0.0132,0,0.0249,0,0.0013,0
Hamilton,4,1997,5274,0.0402,106,0.0015,4,0.0000,0,0.0000,0,0.0000,0,0.0015,4,0.0387,102,0.0102,27,0.0277,73,0.0008,2
Herkimer,12,1997,65818,0.0458,1506,0.0047,154,0.0000,0,0.0004,14,0.0002,6,0.0041,134,0.0411,1352,0.0104,342,0.0293,965,0.0014,45
Jefferson,15,1997,113055,0.0478,18,0.0029,2,0.0000,0,0.0007,0,0.0005,0,0.0017,2,0.0448,16,0.0110,3,0.0329,13,0.0010,0
Kings,1,1997,2401148,0.0423,101454,0.0136,32697,0.0001,276,0.0003,743,0.0065,15613,0.0067,16065,0.0286,68757,0.0071,16994,0.0155,37139,0.0061,14624
Lewis,4,1997,27251,0.0288,393,0.0030,41,0.0000,0,0.0001,1,0.0004,5,0.0026,35,0.0258,352,0.0114,156,0.0138,188,0.0006,8
Livingston,12,1997,64217,0.0528,60,0.0045,0,0.0000,0,0.0004,0,0.0001,0,0.0039,0,0.0483,60,0.0072,5,0.0396,53,0.0015,2
Madison,10,1997,69554,0.0473,75,0.0021,0,0.0001,0,0.0003,0,0.0002,0,0.0016,0,0.0452,75,0.0100,4,0.0346,69,0.0007,2
Monroe,16,1997,734394,0.0998,1234,0.0079,40,0.0002,0,0.0005,4,0.0050,31,0.0023,5,0.0919,1194,0.0158,169,0.0661,932,0.0100,93
Montgomery,7,1997,50798,0.0457,348,0.0048,19,0.0000,0,0.0007,5,0.0005,9,0.0037,5,0.0409,329,0.0095,70,0.0302,247,0.0012,12
Nassau,26,1997,1318211,0.0452,1,0.0038,0,0.0000,0,0.0002,0,0.0018,0,0.0018,0,0.0414,1,0.0056,1,0.0284,0,0.0073,0
"New York",1,1997,1527384,0.0656,100253,0.0132,20174,0.0001,150,0.0003,406,0.0066,10057,0.0063,9561,0.0524,80079,0.0072,11068,0.0407,62233,0.0044,6778
Niagara,10,1997,223135,0.0834,9300,0.0092,1027,0.0001,9,0.0005,51,0.0024,265,0.0063,702,0.0742,8273,0.0178,1981,0.0507,5657,0.0057,635
Oneida,19,1997,236863,0.0641,25,0.0059,7,0.0001,0,0.0006,1,0.0018,0,0.0034,6,0.0582,18,0.0129,5,0.0425,12,0.0028,1
Onondaga,24,1997,462438,0.0849,215,0.0077,13,0.0001,0,0.0004,0,0.0030,2,0.0043,11,0.0771,202,0.0174,30,0.0554,164,0.0043,8
Ontario,8,1997,99693,0.0465,264,0.0014,4,0.0000,0,0.0003,1,0.0004,1,0.0007,2,0.0451,260,0.0068,39,0.0368,211,0.0014,10
Orange,36,1997,328860,0.0546,168,0.0064,5,0.0000,0,0.0004,2,0.0012,0,0.0047,3,0.0483,163,0.0096,46,0.0362,106,0.0025,11
Orleans,6,1997,44172,0.0489,311,0.0041,19,0.0000,0,0.0004,1,0.0005,3,0.0033,15,0.0448,292,0.0115,64,0.0317,221,0.0016,7
Oswego,10,1997,123237,0.0558,20,0.0025,5,0.0000,0,0.0003,0,0.0002,1,0.0020,4,0.0533,15,0.0116,2,0.0398,13,0.0019,0
Otsego,8,1997,61371,0.0474,62,0.0040,7,0.0001,0,0.0004,0,0.0004,1,0.0031,6,0.0433,55,0.0088,7,0.0334,48,0.0011,0
Putnam,9,1997,92139,0.0281,383,0.0013,13,0.0000,0,0.0002,0,0.0003,1,0.0008,12,0.0268,370,0.0063,75,0.0189,279,0.0016,16
Queens,1,1997,2138503,0.0402,85894,0.0083,17832,0.0001,132,0.0002,416,0.0042,9033,0.0039,8251,0.0318,68062,0.0070,14886,0.0155,33107,0.0094,20069
Rensselaer,12,1997,153653,0.0714,5483,0.0069,531,0.0001,8,0.0007,50,0.0022,169,0.0040,304,0.0645,4952,0.0153,1174,0.0463,3558,0.0029,220
Richmond,1,1997,420725,0.0270,11346,0.0061,2571,0.0000,16,0.0001,55,0.0023,959,0.0037,1541,0.0209,8775,0.0040,1675,0.0115,4846,0.0054,2254
Rockland,14,1997,279082,0.0533,2218,0.0053,125,0.0000,2,0.0002,6,0.0016,28,0.0035,89,0.0480,2093,0.0090,330,0.0366,1664,0.0024,99
Saratoga,12,1997,194757,0.0324,174,0.0024,5,0.0000,0,0.0003,4,0.0003,0,0.0018,1,0.0299,169,0.0074,12,0.0215,153,0.0011,4
Schenectady,8,1997,148557,0.0764,5676,0.0067,501,0.0001,6,0.0003,20,0.0035,259,0.0029,216,0.0697,5175,0.0181,1343,0.0477,3542,0.0039,290
Schoharie,7,1997,31557,0.0333,135,0.0025,20,0.0002,1,0.0003,0,0.0003,4,0.0018,15,0.0309,115,0.0104,12,0.0196,98,0.0009,5
Schuyler,5,1997,19023,0.0334,318,0.0017,16,0.0000,0,0.0005,5,0.0002,2,0.0009,9,0.0318,302,0.0094,89,0.0210,200,0.0014,13
Seneca,6,1997,33362,0.0449,749,0.0032,53,0.0000,0,0.0004,7,0.0003,5,0.0025,41,0.0417,696,0.0072,120,0.0335,558,0.0011,18
Steuben,13,1997,98907,0.0594,63,0.0044,3,0.0000,0,0.0004,0,0.0003,1,0.0037,2,0.0550,60,0.0102,12,0.0433,46,0.0015,2
Suffolk,27,1997,1377203,0.0643,263,0.0036,15,0.0001,0,0.0001,1,0.0014,8,0.0021,6,0.0606,248,0.0112,46,0.0444,194,0.0050,8
Sullivan,8,1997,72712,0.0794,2887,0.0118,430,0.0001,2,0.0006,23,0.0012,45,0.0099,360,0.0676,2457,0.0268,975,0.0386,1403,0.0022,79
Tioga,6,1997,52160,0.0240,627,0.0018,47,0.0002,4,0.0003,7,0.0001,2,0.0013,34,0.0222,580,0.0061,160,0.0151,393,0.0010,27
Tompkins,12,1997,96216,0.0683,57,0.0031,0,0.0000,0,0.0004,0,0.0011,0,0.0015,0,0.0652,57,0.0131,7,0.0510,50,0.0011,0
Ulster,21,1997,174148,0.0560,9,0.0072,0,0.0000,0,0.0003,0,0.0009,0,0.0060,0,0.0488,9,0.0111,0,0.0354,9,0.0023,0
Warren,5,1997,62460,0.0650,7,0.0043,0,0.0000,0,0.0004,0,0.0003,0,0.0036,0,0.0607,7,0.0112,0,0.0483,7,0.0012,0
Washington,10,1997,60950,0.0426,40,0.0064,3,0.0000,0,0.0003,0,0.0001,0,0.0060,3,0.0362,37,0.0089,6,0.0265,31,0.0008,0
Wayne,11,1997,93282,0.0459,25,0.0029,5,0.0000,0,0.0005,0,0.0003,0,0.0020,5,0.0430,20,0.0099,3,0.0315,16,0.0017,1
Westchester,46,1997,905632,0.0632,57,0.0069,5,0.0001,0,0.0002,0,0.0032,2,0.0035,3,0.0562,52,0.0097,7,0.0374,41,0.0091,4
Wyoming,9,1997,43767,0.0480,104,0.0052,9,0.0000,0,0.0002,0,0.0005,0,0.0045,9,0.0428,95,0.0156,6,0.0259,88,0.0013,1
Yates,4,1997,24245,0.0402,487,0.0029,35,0.0000,0,0.0003,4,0.0001,1,0.0025,30,0.0373,452,0.0070,85,0.0299,362,0.0004,5
Albany,18,1998,295097,0.0931,7320,0.0089,995,0.0000,2,0.0007,74,0.0032,387,0.0049,532,0.0842,6325,0.0188,1799,0.0615,4084,0.0039,442
Allegany,10,1998,49991,0.0356,96,0.0028,9,0.0000,0,0.0003,2,0.0002,1,0.0022,6,0.0329,87,0.0120,25,0.0200,60,0.0009,2
Bronx,1,1998,1300823,0.0403,52464,0.0141,18391,0.0001,170,0.0004,533,0.0059,7661,0.0077,10027,0.0262,34073,0.0063,8210,0.0143,18558,0.0056,7305
Broome,12,1998,201072,0.0651,2581,0.0038,144,0.0000,1,0.0003,13,0.0008,56,0.0028,74,0.0613,2437,0.0111,275,0.0484,2088,0.0018,74
Cattaraugus,12,1998,84519,0.0496,74,0.0036,13,0.0000,0,0.0004,0,0.0002,2,0.0031,11,0.0460,61,0.0134,8,0.0313,51,0.0012,2
Cayuga,9,1998,82497,0.0493,1256,0.0043,70,0.0000,0,0.0002,5,0.0005,13,0.0036,52,0.0449,1186,0.0095,205,0.0341,952,0.0013,29
Chautauqua,14,1998,140784,0.0629,39,0.0055,8,0.0001,0,0.0005,0,0.0010,1,0.0040,7,0.0574,31,0.0121,12,0.0435,16,0.0017,3
Chemung,10,1998,91791,0.0668,1,0.0056,0,0.0001,0,0.0007,0,0.0008,0,0.0041,0,0.0611,1,0.0101,0,0.0494,1,0.0017,0
Chenango,11,1998,51432,0.0420,28,0.0053,5,0.0000,0,0.0002,0,0.0001,1,0.0049,4,0.0367,23,0.0100,5,0.0257,18,0.0010,0
Clinton,7,1998,79926,0.0344,15,0.0062,0,0.0000,0,0.0002,0,0.0002,0,0.0059,0,0.0281,15,0.0072,3,0.0203,12,0.0006,0
Columbia,11,1998,63356,0.0474,103,0.0078,18,0.0000,0,0.0003,0,0.0009,1,0.0066,17,0.0396,85,0.0116,13,0.0264,66,0.0017,6
Cortland,7,1998,48755,0.0765,916,0.0051,60,0.0000,0,0.0009,20,0.0006,9,0.0036,31,0.0714,856,0.0129,127,0.0561,705,0.0024,24
Delaware,11,1998,47999,0.0333,13,0.0041,0,0.0000,0,0.0005,0,0.0002,0,0.0034,0,0.0291,13,0.0092,0,0.0190,13,0.0009,0
Dutchess,15,1998,273784,0.0485,531,0.0050,83,0.0001,0,0.0003,5,0.0014,17,0.0032,61,0.0435,448,0.0078,110,0.0336,319,0.0021,19
Erie,29,1998,956578,0.0822,64,0.0095,5,0.0001,0,0.0005,0,0.0042,0,0.0046,5,0.0727,59,0.0163,11,0.0480,47,0.0084,1
Essex,4,1998,38506,0.0336,646,0.0045,86,0.0000,0,0.0003,6,0.0001,1,0.0041,79,0.0291,560,0.0117,226,0.0162,311,0.0012,23
Franklin,5,1998,49620,0.0341,847,0.0070,173,0.0000,1,0.0004,9,0.0001,3,0.0064,160,0.0272,674,0.0084,208,0.0180,446,0.0008,20
Fulton,6,1998,54971,0.0581,1596,0.0058,159,0.0002,5,0.0004,12,0.0003,8,0.0049,134,0.0523,1437,0.0136,373,0.0362,994,0.0025,70
Genesee,6,1998,60877,0.0466,618,0.0032,26,0.0000,0,0.0005,1,0.0003,7,0.0024,18,0.0434,592,0.0083,91,0.0335,484,0.0015,17
Greene,8,1998,47771,0.0480,14,0.0136,0,0.0001,0,0.0004,0,0.0003,0,0.0129,0,0.0344,14,0.0121,1,0.0213,13,0.0010,0
Hamilton,4,1998,5296,0.0381,101,0.0004,1,0.0000,0,0.0000,0,0.0000,0,0.0004,1,0.0378,100,0.0151,40,0.0215,57,0.0011,3
Herkimer,11,1998,64909,0.0446,1446,0.0043,141,0.0000,0,0.0002,5,0.0004,12,0.0038,124,0.0402,1305,0.0108,352,0.0286,929,0.0007,24
Jefferson,14,1998,112546,0.0414,22,0.0031,3,0.0000,0,0.0008,0,0.0004,0,0.0018,3,0.0383,19,0.0089,1,0.0287,17,0.0006,1
Kings,1,1998,2422434,0.0398,96447,0.0128,31123,0.0001,237,0.0003,789,0.0058,14141,0.0066,15956,0.0270,65324,0.0062,15055,0.0154,37296,0.0054,12973
Lewis,4,1998,27072,0.0346,469,0.0116,157,0.0000,0,0.0004,5,0.0001,2,0.0111,150,0.0230,312,0.0127,172,0.0095,129,0.0008,11
Livingston,11,1998,63948,0.0563,54,0.0048,2,0.0000,0,0.0002,0,0.0003,0,0.0044,2,0.0515,52,0.0078,4,0.0416,43,0.0021,5
Madison,11,1998,69464,0.0373,29,0.0016,0,0.0001,0,0.0002,0,0.0001,0,0.0012,0,0.0357,29,0.0092,0,0.0262,29,0.0004,0
Monroe,15,1998,734076,0.0938,1056,0.0065,36,0.0001,0,0.0005,2,0.0037,27,0.0022,7,0.0873,1020,0.0149,147,0.0632,820,0.0091,53
Montgomery,8,1998,50321,0.0456,489,0.0042,38,0.0000,0,0.0003,4,0.0007,11,0.0032,23,0.0414,451,0.0109,148,0.0290,289,0.0015,14
Nassau,26,1998,1322950,0.0417,2,0.0037,0,0.0000,0,0.0001,0,0.0017,0,0.0019,0,0.0380,2,0.0053,1,0.0264,1,0.0062,0
"New York",1,1998,1531067,0.0587,89805,0.0118,18054,0.0001,104,0.0002,323,0.0058,8849,0.0057,8778,0.0469,71751,0.0063,9637,0.0368,56365,0.0038,5749
Niagara,10,1998,221884,0.0790,8762,0.0084,930,0.0001,15,0.0004,42,0.0023,258,0.0055,615,0.0706,7832,0.0148,1647,0.0485,5378,0.0073,807
Oneida,19,1998,235710,0.0614,11,0.0053,4,0.0001,0,0.0006,0,0.0016,0,0.0031,4,0.0561,7,0.0128,0,0.0401,7,0.0032,0
Onondaga,23,1998,459882,0.0777,201,0.0081,12,0.0001,0,0.0004,0,0.0025,1,0.0051,11,0.0695,189,0.0159,20,0.0499,162,0.0038,7
Ontario,8,1998,99603,0.0481,246,0.0023,8,0.0000,0,0.0002,2,0.0003,1,0.0018,5,0.0458,238,0.0090,21,0.0354,211,0.0015,6
Orange,36,1998,332199,0.0520,129,0.0065,1,0.0001,0,0.0004,0,0.0012,1,0.0049,0,0.0455,128,0.0084,31,0.0346,88,0.0025,9
Orleans,6,1998,44167,0.0409,227,0.0053,30,0.0000,0,0.0003,0,0.0004,7,0.0046,23,0.0357,197,0.0089,31,0.0258,157,0.0010,9
Oswego,10,1998,122153,0.0472,15,0.0019,0,0.0000,0,0.0003,0,0.0004,0,0.0011,0,0.0453,15,0.0112,2,0.0328,13,0.0013,0
Otsego,6,1998,61379,0.0382,64,0.0043,6,0.0000,0,0.0003,0,0.0002,0,0.0037,6,0.0339,58,0.0080,12,0.0251,46,0.0007,0
Putnam,8,1998,93301,0.0276,436,0.0015,10,0.0000,0,0.0001,2,0.0003,3,0.0011,5,0.0261,426,0.0065,86,0.0183,320,0.0013,20
Queens,1,1998,2174983,0.0348,75665,0.0076,16492,0.0001,110,0.0002,358,0.0038,8178,0.0036,7846,0.0272,59173,0.0055,12039,0.0142,30866,0.0075,16268
Rensselaer,12,1998,153085,0.0638,4883,0.0054,413,0.0000,3,0.0005,42,0.0021,159,0.0027,209,0.0584,4470,0.0153,1169,0.0403,3084,0.0028,217
Richmond,1,1998,428952,0.0211,9060,0.0043,1855,0.0000,12,0.0001,43,0.0013,549,0.0029,1251,0.0168,7205,0.0030,1280,0.0096,4126,0.0042,1799
Rockland,14,1998,282044,0.0497,2330,0.0050,145,0.0000,0,0.0003,11,0.0012,28,0.0035,106,0.0447,2185,0.0068,234,0.0355,1834,0.0023,117
Saratoga,11,1998,196513,0.0306,163,0.0021,5,0.0000,0,0.0002,2,0.0003,1,0.0016,2,0.0285,158,0.0069,16,0.0206,132,0.0010,10
Schenectady,8,1998,147738,0.0761,5620,0.0076,563,0.0001,8,0.0005,37,0.0032,237,0.0038,281,0.0685,5057,0.0151,1119,0.0502,3711,0.0031,227
Schoharie,5,1998,31279,0.0301,129,0.0021,18,0.0000,0,0.0001,0,0.0001,2,0.0019,16,0.0279,111,0.0101,18,0.0173,89,0.0006,4
Schuyler,5,1998,19143,0.0375,359,0.0010,10,0.0000,0,0.0002,2,0.0002,2,0.0006,6,0.0365,349,0.0118,113,0.0237,227,0.0009,9
Seneca,6,1998,33184,0.0477,792,0.0040,66,0.0000,0,0.0002,4,0.0007,11,0.0031,51,0.0438,726,0.0068,113,0.0360,597,0.0010,16
Steuben,13,1998,98657,0.0552,42,0.0036,11,0.0000,0,0.0003,2,0.0005,1,0.0028,8,0.0516,31,0.0120,11,0.0385,19,0.0011,1
Suffolk,27,1998,1390729,0.0597,199,0.0039,16,0.0000,2,0.0002,2,0.0013,9,0.0023,3,0.0558,183,0.0080,27,0.0438,145,0.0040,11
Sullivan,8,1998,72974,0.0693,2528,0.0076,277,0.0001,4,0.0004,15,0.0011,40,0.0060,218,0.0617,2251,0.0210,767,0.0387,1411,0.0020,73
Tioga,5,1998,52163,0.0288,751,0.0013,33,0.0000,0,0.0002,4,0.0001,2,0.0010,27,0.0275,718,0.0061,158,0.0201,525,0.0013,35
Tompkins,11,1998,96036,0.0588,61,0.0021,2,0.0000,0,0.0005,0,0.0004,0,0.0012,2,0.0567,59,0.0121,9,0.0432,49,0.0015,1
Ulster,21,1998,175085,0.0481,9,0.0062,0,0.0000,0,0.0002,0,0.0007,0,0.0052,0,0.0419,9,0.0091,0,0.0309,9,0.0019,0
Warren,5,1998,62585,0.0663,14,0.0046,0,0.0000,0,0.0003,0,0.0004,0,0.0038,0,0.0618,14,0.0118,1,0.0485,13,0.0015,0
Washington,9,1998,60851,0.0452,65,0.0081,0,0.0000,0,0.0006,0,0.0001,0,0.0074,0,0.0371,65,0.0115,17,0.0249,46,0.0007,2
Wayne,10,1998,93624,0.0469,17,0.0028,3,0.0000,0,0.0005,2,0.0005,0,0.0017,1,0.0441,14,0.0097,1,0.0332,13,0.0013,0
Westchester,46,1998,911628,0.0570,63,0.0066,11,0.0001,0,0.0002,0,0.0029,2,0.0034,9,0.0504,52,0.0076,8,0.0358,40,0.0070,4
Wyoming,9,1998,43527,0.0536,88,0.0050,6,0.0001,0,0.0004,0,0.0001,0,0.0043,6,0.0486,82,0.0204,15,0.0268,65,0.0014,2
Yates,4,1998,24355,0.0352,429,0.0018,22,0.0001,1,0.0003,4,0.0000,0,0.0014,17,0.0334,407,0.0087,106,0.0246,299,0.0002,2
Albany,16,1999,294692,0.0960,7475,0.0077,897,0.0001,12,0.0005,46,0.0030,376,0.0042,463,0.0883,6578,0.0193,1826,0.0645,4324,0.0045,428
Allegany,11,1999,49997,0.0304,72,0.0038,7,0.0000,0,0.0002,0,0.0001,0,0.0035,7,0.0266,65,0.0073,14,0.0184,49,0.0010,2
Bronx,1,1999,1317895,0.0379,49928,0.0128,16820,0.0001,139,0.0003,408,0.0052,6836,0.0072,9437,0.0251,33108,0.0058,7582,0.0139,18376,0.0054,7150
Broome,12,1999,200881,0.0602,2355,0.0038,163,0.0000,3,0.0004,19,0.0009,60,0.0024,81,0.0564,2192,0.0095,286,0.0455,1839,0.0014,67
Cattaraugus,10,1999,84050,0.0408,82,0.0042,10,0.0001,0,0.0002,0,0.0002,0,0.0037,10,0.0366,72,0.0073,9,0.0282,63,0.0012,0
Cayuga,8,1999,82034,0.0487,1259,0.0044,59,0.0000,0,0.0003,11,0.0005,18,0.0035,30,0.0443,1200,0.0083,190,0.0352,995,0.0008,15
Chautauqua,14,1999,140087,0.0542,41,0.0044,7,0.0000,0,0.0004,0,0.0005,0,0.0036,7,0.0498,34,0.0114,12,0.0368,22,0.0016,0
Chemung,9,1999,91284,0.0641,1,0.0060,0,0.0001,0,0.0006,0,0.0012,0,0.0042,0,0.0581,1,0.0080,0,0.0485,1,0.0016,0
Chenango,11,1999,51286,0.0453,27,0.0060,0,0.0000,0,0.0003,0,0.0001,0,0.0055,0,0.0393,27,0.0109,4,0.0278,21,0.0006,2
Clinton,7,1999,79875,0.0361,10,0.0054,0,0.0000,0,0.0001,0,0.0001,0,0.0051,0,0.0307,10,0.0059,3,0.0243,7,0.0005,0
Columbia,9,1999,63217,0.0431,91,0.0063,19,0.0000,0,0.0001,0,0.0009,0,0.0053,19,0.0368,72,0.0081,13,0.0276,57,0.0010,2
Cortland,7,1999,48734,0.0694,737,0.0035,41,0.0000,0,0.0006,13,0.0003,6,0.0026,22,0.0659,696,0.0117,127,0.0522,545,0.0021,24
Delaware,10,1999,48069,0.0346,1,0.0042,0,0.0000,0,0.0004,0,0.0001,0,0.0037,0,0.0304,1,0.0077,0,0.0211,1,0.0016,0
Dutchess,15,1999,277586,0.0477,437,0.0043,79,0.0001,1,0.0003,6,0.0012,21,0.0027,51,0.0433,358,0.0071,78,0.0342,251,0.0020,29
Erie,27,1999,952546,0.0754,47,0.0087,7,0.0001,0,0.0005,0,0.0035,0,0.0047,7,0.0666,40,0.0142,16,0.0443,22,0.0082,2
Essex,5,1999,38664,0.0336,649,0.0057,111,0.0001,1,0.0006,12,0.0001,2,0.0050,96,0.0278,538,0.0082,159,0.0185,357,0.0011,22
Franklin,6,1999,51061,0.0363,928,0.0069,177,0.0000,1,0.0000,1,0.0003,7,0.0066,168,0.0294,751,0.0087,223,0.0199,509,0.0007,19
Fulton,6,1999,55011,0.0557,1532,0.0051,140,0.0000,0,0.0003,7,0.0004,11,0.0044,122,0.0506,1392,0.0125,344,0.0358,986,0.0023,62
Genesee,7,1999,60554,0.0483,550,0.0029,23,0.0000,1,0.0003,0,0.0003,6,0.0022,16,0.0454,527,0.0078,74,0.0361,442,0.0015,11
Greene,8,1999,47975,0.0463,10,0.0091,0,0.0000,0,0.0005,0,0.0003,0,0.0083,0,0.0371,10,0.0100,4,0.0259,6,0.0012,0
Hamilton,4,1999,5325,0.0507,135,0.0026,7,0.0000,0,0.0004,1,0.0000,0,0.0023,6,0.0481,128,0.0188,50,0.0285,76,0.0008,2
Herkimer,11,1999,64462,0.0450,1450,0.0049,157,0.0000,0,0.0003,10,0.0003,9,0.0043,138,0.0401,1293,0.0078,253,0.0314,1013,0.0008,27
Jefferson,14,1999,112081,0.0397,20,0.0029,2,0.0000,0,0.0007,1,0.0003,0,0.0019,1,0.0368,18,0.0087,4,0.0271,14,0.0009,0
Kings,1,1999,2447352,0.0364,89153,0.0117,28725,0.0001,263,0.0003,688,0.0054,13108,0.0060,14666,0.0247,60428,0.0054,13295,0.0143,35084,0.0049,12049
Lewis,4,1999,26914,0.0211,284,0.0022,29,0.0000,0,0.0000,0,0.0001,1,0.0021,28,0.0189,255,0.0092,124,0.0094,126,0.0004,5
Livingston,11,1999,64243,0.0483,43,0.0035,1,0.0001,0,0.0002,0,0.0001,1,0.0031,0,0.0449,42,0.0068,2,0.0365,40,0.0015,0
Madison,10,1999,69523,0.0364,72,0.0020,3,0.0000,0,0.0003,0,0.0001,0,0.0015,3,0.0344,69,0.0066,10,0.0273,57,0.0005,2
Monroe,14,1999,733679,0.0832,858,0.0053,38,0.0001,0,0.0004,7,0.0028,21,0.0020,10,0.0779,820,0.0131,119,0.0573,663,0.0076,38
Montgomery,7,1999,49918,0.0385,340,0.0043,40,0.0000,1,0.0002,3,0.0003,4,0.0037,32,0.0343,300,0.0085,101,0.0250,192,0.0007,7
