county,agencies,year,population,crimesperperson,index_total,violentperperson,violent_total,murderperperson,murder,rapeperperson,rape,robberyperperson,robbery,aggravated_assaultperperson,aggravated_assault,propertyperperson,property_total,burglaryperperson,burglary,larcenyperperson,larceny,vehicletheftperperson,motor_vehicle_theft
Orleans,14,1990,41846,0.1055,277,0.0152,44,0.0003,1,0.0006,1,0.0010,6,0.0134,36,0.0903,233,0.0175,30,0.0697,199,0.0032,4
Oswego,24,1990,121785,0.1108,13,0.0035,0,0.0000,0,0.0007,0,0.0003,0,0.0026,0,0.1073,13,0.0237,0,0.0802,11,0.0034,2
Otsego,14,1990,60390,0.0804,93,0.0044,7,0.0001,0,0.0007,0,0.0003,0,0.0032,7,0.0760,86,0.0195,6,0.0555,80,0.0010,0
Putnam,18,1990,83941,0.0907,536,0.0064,26,0.0000,0,0.0004,2,0.0004,1,0.0056,23,0.0842,510,0.0243,114,0.0543,358,0.0057,38
Queens,2,1990,1951598,0.1693,165179,0.0312,30441,0.0003,308,0.0006,556,0.0186,18135,0.0117,11442,0.1381,134738,0.0300,29273,0.0565,55165,0.0515,50300
Rensselaer,24,1990,154429,0.1409,5438,0.0104,401,0.0001,3,0.0011,42,0.0021,80,0.0071,276,0.1305,5037,0.0368,1422,0.0874,3373,0.0063,242
Richmond,2,1990,378977,0.1153,21853,0.0163,3092,0.0002,29,0.0004,80,0.0055,1037,0.0103,1946,0.0990,18761,0.0191,3621,0.0417,7909,0.0382,7231
Rockland,30,1990,265475,0.1282,2452,0.0107,151,0.0001,0,0.0006,8,0.0027,28,0.0073,115,0.1175,2301,0.0215,351,0.0872,1784,0.0087,166
Saratoga,24,1990,181276,0.1137,265,0.0105,17,0.0000,0,0.0006,5,0.0007,0,0.0092,12,0.1032,248,0.0234,49,0.0765,185,0.0033,14
Schenectady,20,1990,149285,0.1587,5924,0.0104,387,0.0003,10,0.0013,48,0.0039,145,0.0049,184,0.1484,5537,0.0426,1589,0.0965,3601,0.0093,347
Schoharie,12,1990,31840,0.0941,189,0.0065,26,0.0000,0,0.0003,0,0.0001,0,0.0062,26,0.0876,163,0.0300,20,0.0544,140,0.0031,3
Schuyler,10,1990,18662,0.1385,646,0.0041,19,0.0000,0,0.0015,7,0.0002,1,0.0024,11,0.1344,627,0.0249,116,0.1050,490,0.0045,21
Seneca,12,1990,33683,0.0942,793,0.0062,52,0.0000,0,0.0008,7,0.0001,1,0.0052,44,0.0880,741,0.0177,149,0.0675,568,0.0029,24
Steuben,30,1990,99088,0.1377,155,0.0099,11,0.0000,0,0.0003,0,0.0005,1,0.0091,10,0.1277,144,0.0224,23,0.1012,113,0.0042,8
Suffolk,58,1990,1321339,0.1856,350,0.0115,42,0.0001,0,0.0005,4,0.0046,19,0.0062,19,0.1741,308,0.0393,43,0.1105,198,0.0243,67
Sullivan,18,1990,69277,0.1830,3169,0.0173,300,0.0002,3,0.0010,18,0.0023,39,0.0139,240,0.1657,2869,0.0635,1100,0.0951,1647,0.0070,122
Tioga,10,1990,52337,0.0699,915,0.0092,121,0.0002,3,0.0005,6,0.0003,4,0.0083,108,0.0607,794,0.0161,211,0.0416,544,0.0030,39
Tompkins,24,1990,94097,0.1911,78,0.0061,0,0.0002,0,0.0009,0,0.0009,0,0.0041,0,0.1850,78,0.0352,11,0.1448,65,0.0050,2
Ulster,42,1990,165380,0.1340,1,0.0148,0,0.0002,0,0.0006,0,0.0016,0,0.0124,0,0.1192,1,0.0346,0,0.0783,1,0.0063,0
Warren,10,1990,59209,0.1693,7,0.0193,0,0.0001,0,0.0013,0,0.0008,0,0.0170,0,0.1500,7,0.0315,0,0.1154,7,0.0032,0
Washington,22,1990,59330,0.0952,67,0.0121,3,0.0000,0,0.0008,0,0.0007,1,0.0107,2,0.0831,64,0.0198,9,0.0601,52,0.0031,3
Wayne,22,1990,89123,0.1169,88,0.0080,9,0.0002,0,0.0009,0,0.0011,0,0.0059,9,0.1088,79,0.0244,9,0.0814,66,0.0031,4
Westchester,90,1990,874866,0.1744,100,0.0177,13,0.0002,0,0.0006,0,0.0088,4,0.0081,9,0.1567,87,0.0296,16,0.0986,68,0.0286,3
Wyoming,18,1990,42507,0.1274,49,0.0199,2,0.0000,0,0.0006,0,0.0002,0,0.0192,2,0.1075,47,0.0382,9,0.0643,37,0.0050,1
Yates,10,1990,22810,0.0889,507,0.0060,34,0.0000,0,0.0009,5,0.0000,0,0.0051,29,0.0829,473,0.0182,104,0.0633,361,0.0014,8
Albany,19,1991,295530,0.1030,7569,0.0113,1201,0.0001,11,0.0006,71,0.0039,487,0.0067,632,0.0917,6368,0.0221,1988,0.0645,3878,0.0051,502
Allegany,10,1991,50935,0.0556,170,0.0053,11,0.0000,0,0.0004,0,0.0001,0,0.0048,11,0.0504,159,0.0167,34,0.0324,119,0.0013,6
Bronx,1,1991,1214835,0.0824,100071,0.0276,33515,0.0005,552,0.0005,601,0.0149,18074,0.0118,14288,0.0548,66556,0.0152,18463,0.0226,27506,0.0169,20587
Broome,12,1991,212820,0.0700,2589,0.0032,94,0.0000,2,0.0006,29,0.0006,34,0.0020,29,0.0668,2495,0.0117,287,0.0524,2141,0.0027,67
Cattaraugus,11,1991,84961,0.0621,80,0.0064,28,0.0000,0,0.0005,1,0.0002,0,0.0057,27,0.0557,52,0.0132,11,0.0410,40,0.0016,1
Cayuga,9,1991,82880,0.0616,1318,0.0052,55,0.0001,0,0.0004,7,0.0007,17,0.0041,31,0.0564,1263,0.0119,168,0.0433,1091,0.0012,4
Chautauqua,13,1991,142680,0.0767,27,0.0032,6,0.0001,0,0.0003,2,0.0006,0,0.0022,4,0.0735,21,0.0160,7,0.0558,14,0.0017,0
